contact_id;address_line1;address_line2;locality;region;postcode;country;phone_no;email
1;Tuzer utca 34;;Budapest;Pest;1134;HU;-8783;thomasj@sbcglobal.net
2;Afonya utca 1-13;;Budapest;Pest;1025;HU;-6202;schwaang@live.com
3;Orszaghaz utca 2;;Budapest;Pest;1014;HU;-3992;alhajj@comcast.net
4;Fraknó utca;;Budapest;Pest;1115;HU;-3065;hamilton@sbcglobal.net
5;Sándor utca 764.;;Budapest;Pest;7303;HU;-7232;augusto@aol.com
6;Szûcs árok 63. 24. ajtó;;Érd;Pest;7094;HU;-7395;hampton@aol.com
7;Orsós mélyút 92.;;Békéscsaba;Békés;9430;HU;-10699;melnik@live.com
8;Biró körtér 264. 50. ajtó;;Kaposvár;Somogy;3599;HU;-6209;maneesh@yahoo.ca
9;Benedek üdülõpart 0.;;Budapest;Pest;6704;HU;-1520;jhardin@live.com
10;Szervác körönd 10.;;Budapest;Pest;3515;HU;-8868;kaiser@aol.com
11;Varga körút 63.;;Budapest;Pest;5811;HU;-9435;phyruxus@yahoo.com
12;Barta tér 04.;;Budapest;Pest;5604;HU;-9909;russotto@att.net
13;Hegedüs orom 1. 61. emelet;;Nyíregyháza;Szabolcs-Szatmár-Bereg;3524;HU;-6348;hakim@yahoo.com
14;Olivér erdõsor 3.;;Békéscsaba;Békés;1828;HU;-9794;shawnce@yahoo.ca
15;Fazekas dûlõút 925.;;Baktalórántháza;Szabolcs-Szatmár-Bereg;855;HU;-6418;yenya@icloud.com
16;Gulyás pincesor 96.;;Budapest;Pest;9020;HU;-10483;psichel@aol.com
17;Míra körtér 55. 87. emelet;;Budapest;Pest;5991;HU;-2566;kingjoshi@optonline.net
18;Molnár köz 90.;;Gyõr;Tolna;5401;HU;-8124;ninenine@gmail.com
19;Andrea körút 336. 09. emelet;;Budapest;Pest;6350;HU;-2219;sumdumass@me.com
20;Klaudia ösvény 36. 08. emelet;;Szombathely;Pest;831;HU;-8667;tristan@comcast.net
21;Flóra liget 7. 02. emelet;;Budapest;Pest;3478;HU;-4899;hwestiii@hotmail.com
22;Boros út 06. 17. emelet;;Zalaegerszeg;Zala;3294;HU;-7765;cosimo@att.net
23;Antal ösvény 8.;;Salgótarján;Nógrád;7296;HU;-9183;mpiotr@att.net
24;László országút 33. 53. ajtó;;Miskolc;Borsod-Abaúj-Zemplén;7213;HU;-7877;ngedmond@mac.com
25;Richárd gát 79.;;Budapest;Pest;592;HU;-9886;nanop@aol.com
26;Szonja körönd 148.;;Veszprém;Veszprém;1666;HU;-8484;aukjan@comcast.net
27;Péter körút 7. 17. emelet;;Budapest;Pest;350;HU;-5557;choset@mac.com
28;Vass üdülõpart 96.;;Szentes;Csongrád;7838;HU;-2427;cparis@me.com
29;Kata fasor 939.;;Budapest;Pest;8898;HU;-7024;ebassi@verizon.net
30;Vass utca 276. 80. ajtó;;Siklós;Baranya;7094;HU;-3069;bryam@att.net
31;Fehér sétány 866.;;Budapest;Pest;8546;HU;-4537;bester@sbcglobal.net
32;Biró lépcsõ 82. 51. ajtó;;Miskolc;Borsod-Abaúj-Zemplén;9322;HU;-1351;njpayne@yahoo.com
33;Németh kert 90. 87. emelet;;Békéscsaba;Békés;8670;HU;-10294;jelmer@verizon.net
34;Henrietta sor 28. 46. ajtó;;Kazincbarcika;Borsod-Abaúj-Zemplén;8240;HU;-7659;adhere@icloud.com
