user_id;access_level_id;employee_id;username;password
1;1;1;juhaszo;88d4266fd4e6338d13b845fcf289579d209c897823b9217da3e161936f031589
2;1;3;adamhosman;99fca324a1760d2e215276989bdb8c25d5ad6ffc580e1427f2727eeff0f7919a
3;2;4;pizzafutar;5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5
4;2;8;juhaszo;20f3765880a5c269b747e1e906054a4b4a3a991259f1e16b5dde4742cec2319a
5;2;12;marmalade;ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad
6;3;15;fox;88d4266fd4e6338d13b845fcf289579d209c897823b9217da3e161936f031589
7;3;19;kisp;39194b3abd90639ea648de5e3f11074e1e362fe9d4b5808b3f63d479b2a2e0fd
8;3;21;csepregin;d110c853c5c2f3a8d34b9b0c015755847037391138dbba1d0c889c368c410e89
9;3;25;szombathelyip;3e2b8f7655a269367d0503ead3d27ef7e070fa31a0ccdff6d3150c67cc5c789e
10;3;29;jobbagyz;bebb611beaee51c6c7cb85ea0c2d68c0267f1535b6e17555cba764bbc7d058d2
